Date,Category,Description,Income,Expense
2024-01-01,Salary,Monthly Salary,5000,
2024-01-03,Groceries,Supermarket,,150
2024-01-05,Transportation,Bus Pass,,75
2024-01-07,Entertainment,Concert,,120
2024-01-10,Utilities,Water Bill,,40
2024-01-12,Freelance,Graphic Design Project,700,
2024-01-15,Rent,Monthly Rent,,1200
2024-01-18,Groceries,Organic Market,,90
2024-01-20,Transportation,Taxi,,50
2024-01-23,Utilities,Internet,,60
2024-01-25,Gift,Birthday Present,,40
2024-01-27,Entertainment,Movies,,30
2024-01-29,Salary,Monthly Salary,5000,
2024-02-01,Groceries,Supermarket,,180
2024-02-03,Health,Gym Membership,,45
2024-02-05,Freelance,Web Development Project,800,
2024-02-08,Utilities,Electric Bill,,85
2024-02-10,Transportation,Car Repair,,200
2024-02-13,Entertainment,Theater Tickets,,100
2024-02-15,Rent,Monthly Rent,,1200
